time/date,AUD/US$,EURO/US$,POUND/US$
2000-01-03,1.5172,0.9847,0.6146
2000-01-04,1.5239,0.97,0.6109
2000-01-05,1.5267,0.9676,0.6092
2000-01-06,1.5291,0.9686,0.607
2000-01-07,1.5272,0.9714,0.6104
2000-01-10,1.5242,0.9754,0.6107
2000-01-11,1.5209,0.9688,0.6068
2000-01-12,1.5202,0.9727,0.6073
2000-01-13,1.4954,0.9737,0.6067
2000-01-14,1.5004,0.9874,0.6115
2000-01-18,1.506,0.988,0.6105
2000-01-19,1.5074,0.9886,0.6083
2000-01-20,1.5002,0.9869,0.6047
2000-01-21,1.5103,0.9901,0.6059
2000-01-24,1.5281,0.9981,0.6053
2000-01-25,1.5286,0.9959,0.6067
2000-01-26,1.5373,0.9989,0.6099
2000-01-27,1.5267,1.0111,0.6111
2000-01-28,1.5962,1.0241,0.6169
2000-01-31,1.5669,1.0249,0.618
2000-02-01,1.5835,1.0276,0.6192
2000-02-02,1.5723,1.0238,0.6227
2000-02-03,1.5657,1.0114,0.624
2000-02-04,1.5835,1.0246,0.6283
2000-02-07,1.5775,1.0222,0.6283
2000-02-08,1.5741,1.014,0.6209
2000-02-09,1.576,1.0087,0.6205
2000-02-10,1.5823,1.0137,0.6228
2000-02-11,1.5918,1.0155,0.628
2000-02-14,1.5926,1.0222,0.6293
2000-02-15,1.5873,1.0169,0.627
2000-02-16,1.587,1.0161,0.6234
2000-02-17,1.5823,1.0139,0.6231
2000-02-18,1.5893,1.0152,0.6256
2000-02-22,1.5982,0.994,0.6186
2000-02-23,1.6139,0.9983,0.6232
2000-02-24,1.6276,1.0069,0.6257
2000-02-25,1.6194,1.0243,0.6286
2000-02-28,1.6351,1.0342,0.6275
2000-02-29,1.6247,1.037,0.6337
2000-03-01,1.6483,1.0309,0.631
2000-03-02,1.6455,1.0396,0.6343
2000-03-03,1.6442,1.0397,0.6325
2000-03-06,1.6622,1.0413,0.6356
2000-03-07,1.657,1.046,0.634
2000-03-08,1.641,1.0443,0.6307
2000-03-09,1.6247,1.0326,0.6323
2000-03-10,1.6297,1.0353,0.6332
2000-03-13,1.6221,1.0365,0.6336
2000-03-14,1.6287,1.0369,0.6359
2000-03-15,1.6327,1.0314,0.6357
2000-03-16,1.6375,1.0299,0.635
2000-03-17,1.6483,1.0316,0.6367
2000-03-20,1.6488,1.0299,0.6375
2000-03-21,1.6393,1.0306,0.6359
2000-03-22,1.6513,1.0408,0.6367
2000-03-23,1.6554,1.0319,0.6317
2000-03-24,1.6491,1.0284,0.6285
2000-03-27,1.6356,1.0368,0.6307
2000-03-28,1.6284,1.0401,0.63
2000-03-29,1.6329,1.05,0.6301
2000-03-30,1.6327,1.0423,0.6281
2000-03-31,1.6496,1.0445,0.6281
2000-04-03,1.6466,1.046,0.6258
2000-04-04,1.6578,1.043,0.6264
2000-04-05,1.6521,1.0366,0.6289
2000-04-06,1.6622,1.0438,0.6329
2000-04-07,1.6658,1.0428,0.6317
2000-04-10,1.6692,1.043,0.6318
2000-04-11,1.6787,1.0426,0.63
2000-04-12,1.675,1.047,0.6296
2000-04-13,1.677,1.05,0.6297
2000-04-14,1.6745,1.0456,0.6305
2000-04-17,1.6912,1.0471,0.6308
2000-04-18,1.6818,1.0552,0.6344
2000-04-19,1.6787,1.0673,0.6338
2000-04-20,1.6861,1.0666,0.6329
2000-04-21,1.6878,1.0662,0.6335
2000-04-24,1.6821,1.0643,0.6329
2000-04-25,1.679,1.0793,0.6334
2000-04-26,1.6978,1.085,0.6331
2000-04-27,1.7021,1.101,0.635
2000-04-28,1.7132,1.1002,0.6427
2000-05-01,1.7241,1.0965,0.6428
2000-05-02,1.7074,1.1028,0.6414
2000-05-03,1.6949,1.1247,0.6408
2000-05-04,1.6909,1.1227,0.6479
2000-05-05,1.6849,1.1169,0.6541
2000-05-08,1.7036,1.1173,0.6532
2000-05-09,1.7159,1.1083,0.653
2000-05-10,1.7197,1.0993,0.6599
2000-05-11,1.7271,1.1085,0.6668
2000-05-12,1.7212,1.1013,0.6591
2000-05-15,1.7425,1.0943,0.6633
2000-05-16,1.7322,1.1046,0.6663
2000-05-17,1.759,1.121,0.6709
2000-05-18,1.7535,1.1171,0.6749
2000-05-19,1.7458,1.1178,0.6732
2000-05-22,1.7422,1.1067,0.6708
2000-05-23,1.74,1.1072,0.679
2000-05-24,1.7504,1.0994,0.6777
2000-05-25,1.7544,1.1023,0.68
2000-05-26,1.7495,1.0741,0.6723
2000-05-30,1.7337,1.0737,0.6689
2000-05-31,1.7519,1.072,0.6681
2000-06-01,1.7479,1.0745,0.6705
2000-06-02,1.7271,1.0602,0.6632
2000-06-05,1.7206,1.0559,0.6607
2000-06-06,1.6987,1.0449,0.6564
2000-06-07,1.6949,1.0417,0.6568
2000-06-08,1.7013,1.0473,0.664
2000-06-09,1.7053,1.0498,0.6632
2000-06-12,1.6915,1.0478,0.6614
2000-06-13,1.6742,1.0396,0.6609
2000-06-14,1.6647,1.0428,0.6656
2000-06-15,1.6625,1.0493,0.6621
2000-06-16,1.6439,1.0365,0.6594
2000-06-19,1.66,1.0393,0.6599
2000-06-20,1.6565,1.0464,0.6623
2000-06-21,1.6595,1.0576,0.668
2000-06-22,1.6686,1.0641,0.6618
2000-06-23,1.6767,1.0686,0.6662
2000-06-26,1.6764,1.0659,0.6671
2000-06-27,1.6633,1.0589,0.6667
2000-06-28,1.6603,1.0589,0.6619
2000-06-29,1.6586,1.051,0.6582
2000-06-30,1.6748,1.0477,0.6609
2000-07-03,1.6678,1.0498,0.6607
2000-07-05,1.6929,1.0473,0.6614
2000-07-06,1.6923,1.0496,0.6614
2000-07-07,1.6946,1.0544,0.6604
2000-07-10,1.6915,1.0503,0.6606
2000-07-11,1.6975,1.053,0.6605
2000-07-12,1.6978,1.0637,0.6637
2000-07-13,1.7079,1.0708,0.6671
2000-07-14,1.7103,1.0668,0.6671
2000-07-17,1.7079,1.0694,0.6702
2000-07-18,1.7112,1.0727,0.6691
2000-07-19,1.7391,1.0826,0.6693
2000-07-20,1.7194,1.0762,0.6625
2000-07-21,1.705,1.0703,0.6593
2000-07-24,1.7065,1.0737,0.6605
2000-07-25,1.7097,1.0648,0.6583
2000-07-26,1.6938,1.0624,0.6599
2000-07-27,1.6975,1.0717,0.6616
2000-07-28,1.703,1.0815,0.6656
2000-07-31,1.728,1.0792,0.6674
2000-08-01,1.7227,1.0837,0.667
